Region/Province/City,Kind of Quarantine,Start Date,End Date,Source
Region III,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Region IV-A,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Bohol,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Cebu,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Negros Oriental,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Siquijor,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Mandaue,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Lapu-Lapu,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Zamboanga City,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Davao City,General Community Quarantine,June 16 2020,June 30 2020,Approved IATF Resolution No. 46-A
Cebu City,Enhanced Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
NCR,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Benguet,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Cavite,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Rizal,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Mandaue City,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Lapu-Lapu City,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Talisay City,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Minglanilla,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Consolacion,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Leyte,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Southern Leyte,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Ormoc City,General Community Quarantine,July 1 2020,July 15 2020,Approved IATF Resolution No. 50-A
Cebu City,Modified Enhanced Community Quarantine,July 16 2020,July 31 2020,Approved IATF Resolution No. 55-A
Navotas,Lockdown,July 16 2020,July 29 2020,Announcement by Mayor Tiangco
NCR,Modified Enhanced Community Quarantine,August 4 2020,August 18 2020,Approved IATF Recommendation
Bulacan,Modified Enhanced Community Quarantine,August 4 2020,August 18 2020,Approved IATF Recommendation
Laguna,Modified Enhanced Community Quarantine,August 4 2020,August 18 2020,Approved IATF Recommendation
Cavite,Modified Enhanced Community Quarantine,August 4 2020,August 18 2020,Approved IATF Recommendation
Rizal,Modified Enhanced Community Quarantine,August 4 2020,August 18 2020,Approved IATF Recommendation
Iligan City,Modified Enhanced Community Quarantine,September 1 2020,September 30 2020,Presidential Announcement
NCR,General Community Quarantine,September 1 2020,September 30 2020,Presidential Announcement
Bulacan,General Community Quarantine,September 1 2020,September 30 2020,Presidential Announcement
Batangas,General Community Quarantine,September 1 2020,September 30 2020,Presidential Announcement
Tacloban City,General Community Quarantine,September 1 2020,September 30 2020,Presidential Announcement
Bacolod,General Community Quarantine,September 1 2020,September 30 2020,Presidential Announcement
Lanao del Sur,Modified Enhanced Community Quarantine,October 1 2020,October 31 2020,IATF-EID Recommendation
NCR,General Community Quarantine,November 1 2020,November 30 2020,Malacanang Announcement
NCR,General Community Quarantine,December 1 2020,December 31 2020,Presidential Announcement
Isabela (excluding Santiago City),General Community Quarantine,December 15 2020,December 31 2020,IATF-EID Recommendation
Bontoc (Selected Barangays),Lockdown,January 18 2021,January 31 2021,Mayor Franklin Odsey Announcement
Pasay (33 Barangays),Lockdown,February 20 2021,03/05/21,City Administrator Announcement
NCR,General Community Quarantine,March 22 2021,April 4 2021,IATF-EID Resolution No. 104
Bulacan,General Community Quarantine,March 22 2021,April 4 2021,IATF-EID Resolution No. 104
Cavite,General Community Quarantine,March 22 2021,April 4 2021,IATF-EID Resolution No. 104
